age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-13078;-1.4409604549408;434762;11226;13259;177;0;0.8;8;2546.19549293349;2464.478585959982;0;81.71690697350807;0;0
-13077;-0.44096045494079994;439234;12756;16288;186;0;0.81;8;2795.319662573178;2541.8755233690845;250.3144119760442;3.129727228049214;0;0
-13076;-1.0409604549407998;434387;11696;14516;184;0;0.81;0;0;0;0;0;0;0
-13075;-0.34096045494079985;438903;12833;16697;199;0;0.82;8;901.1360084250067;889.640076616405;0;11.4959318086016;0;0
-13074;-0.44096045494079994;438611;12755;16446;204;0;0.83;0;0;0;0;0;0;0
-13073;-1.1409604549408;435456;11791;14360;192;0;0.83;8;2924.7382342845854;2797.814791726574;0;126.92344255801122;0;0
-13072;-0.7409604549407999;435843;12508;15376;197;0;0.83;0;0;0;0;0;0;0
-13071;-1.3409604549407999;432594;11599;13651;197;0;0.83;0;0;0;0;0;0;0
-13070;0.05903954505920006;441844;13760;17738;228;0;0.83;0;0;0;0;0;0;0
-13069;-0.1409604549407999;441755;13648;17228;240;0;0.83;8;324.6607836925759;309.262125748616;0;15.39865794395988;0;0
-13068;-0.44096045494079994;440642;13322;16389;252;0;0.83;8;2512.6439514346475;2462.2176410598368;0;50.42631037481058;0;0
-13067;-0.44096045494079994;439205;13367;16424;271;0;0.83;8;61.54747865688325;7.8823433888945935;52.02649927302319;1.6386359949654603;0;0
-13066;-0.5409604549407998;439470;13261;16213;291;0;0.82;8;8887.163987099442;7821.185165635085;572.8577823522368;493.1210391121204;0;0
-13065;-0.6409604549407999;431981;12686;15444;310;0;0.82;8;4301.17850510151;2807.267318378538;1159.3777177099867;334.53346901298573;0;0
-13064;-0.1409604549407999;433092;12072;16724;351;0;0.81;0;0;0;0;0;0;0
-13063;0.5590395450592003;437322;12641;19070;394;0;0.8;8;609.6269467286313;590.699999381469;0;18.926947347162315;0;0
-13062;0.15903954505920015;436322;12479;17993;422;0;0.79;0;0;0;0;0;0;0
-13061;-1.2409604549408;428886;11087;13847;388;0;0.78;0;0;0;0;0;0;0
-13060;-1.0409604549407998;431055;11268;14580;427;0;0.77;8;201.03778237869918;198.9923694882933;0;2.045412890405897;0;0
-13059;0.15903954505920015;438865;12660;18614;522;0;0.75;8;7140.127361080897;6774.299442482066;11.239956907951598;354.58796169087907;0;0
-13058;-0.24096045494079998;430924;12229;17262;547;0;0.74;0;0;0;0;0;0;0
-13057;-1.1409604549408;426363;11312;14548;530;0;0.73;0;0;0;0;0;0;0
-13056;-1.6409604549408;423643;10621;13138;512;0;0.71;7;8148.7153242353925;7805.744421176848;0;342.9709030585443;0;0
-13055;-0.9409604549407999;421607;11548;15033;626;0;0.7;0;0;0;0;0;0;0
-13054;-1.5409604549407998;418076;10732;13293;601;0;0.68;7;361.2326691019062;350.4726867650727;0;10.759982336833502;0;0
-13053;-1.4409604549408;419475;10911;13690;656;0;0.66;0;0;0;0;0;0;0
-13052;-1.7409604549408;417919;10533;12860;640;0;0.64;0;0;0;0;0;0;0
-13051;-1.4409604549408;421311;11054;13720;751;0;0.63;0;0;0;0;0;0;0
