age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-14793;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14792;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14791;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14790;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14789;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14788;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14787;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14786;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14785;-2.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14784;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14783;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14782;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14781;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14780;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14779;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14778;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14777;-3.3409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14776;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14775;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14774;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14773;-3.1409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14772;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14771;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14770;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14769;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14768;-3.1409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14767;-2.8409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14766;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14765;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14764;-5.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14763;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14762;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14761;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14760;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14759;-5.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14758;-5.740960454940799;0;0;0;0;0;0;0;0;0;0;0;0;0
-14757;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14756;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14755;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14754;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14753;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14752;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14751;-5.740960454940799;0;0;0;0;0;0;0;0;0;0;0;0;0
-14750;-6.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14749;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14748;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14747;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14746;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14745;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14744;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14743;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14742;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14741;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14740;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14739;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14738;-5.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14737;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14736;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14735;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14734;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14733;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14732;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14731;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14730;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14729;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14728;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14727;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14726;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14725;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14724;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14723;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14722;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
